Manufacturer,Registrations,Date,Category
ASHOK LEYLAND LTD,3,2024-01-01,FOUR WHEELER
ASTON MARTIN LAGONDA LTD,15,2024-01-01,FOUR WHEELER
AUDI AG,501,2024-01-01,FOUR WHEELER
AUTOMOBILI LAMBORGHINI S.P.A,96,2024-01-01,FOUR WHEELER
BAJAJ AUTO LTD,52,2024-01-01,FOUR WHEELER
BENTLEY MOTORS LIMITED,64,2024-01-01,FOUR WHEELER
BMW INDIA PVT LTD,14327,2024-01-01,FOUR WHEELER
BYD AUTO,2,2024-01-01,FOUR WHEELER
BYD INDIA PRIVATE LIMITED,2709,2024-01-01,FOUR WHEELER
CHEVROLET SALES INDIA PVT LTD,1,2024-01-01,FOUR WHEELER
DAIMLER AG,2,2024-01-01,FOUR WHEELER
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2,2024-01-01,FOUR WHEELER
DALIAN FORKLIFT CO.,1,2024-01-01,FOUR WHEELER
DODGE MOTORS,3,2024-01-01,FOUR WHEELER
FCA INDIA AUTOMOBILES PRIVATE LIMITED,4597,2024-01-01,FOUR WHEELER
FERRARI INDIA PRIVATE LIMITED,7,2024-01-01,FOUR WHEELER
FERRARI SPA,10,2024-01-01,FOUR WHEELER
FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD),9,2024-01-01,FOUR WHEELER
FERRARI SPA (IMPORTER:SELECT CARS P LTD),8,2024-01-01,FOUR WHEELER
FORCE MOTORS LIMITED,1980,2024-01-01,FOUR WHEELER
FORD INDIA PVT LTD,20,2024-01-01,FOUR WHEELER
GENERAL MOTORS INDIA PVT LTD,4,2024-01-01,FOUR WHEELER
HERO HONDA MOTORS LTD,1,2024-01-01,FOUR WHEELER
HERO MOTOCORP LTD,2,2024-01-01,FOUR WHEELER
HINDUSTAN MOTOR CORPORATION,2,2024-01-01,FOUR WHEELER
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,1,2024-01-01,FOUR WHEELER
HONDA CARS INDIA LTD,66930,2024-01-01,FOUR WHEELER
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,8,2024-01-01,FOUR WHEELER
HYUNDAI MOTOR INDIA LTD,540590,2024-01-01,FOUR WHEELER
"HYUNDAI MOTORS LTD, SOUTH KOREA",7,2024-01-01,FOUR WHEELER
INDIA KAWASAKI MOTORS PVT LTD,1,2024-01-01,FOUR WHEELER
INDIA YAMAHA MOTOR PVT LTD,11,2024-01-01,FOUR WHEELER
ISUZU MOTORS INDIA PVT LTD,529,2024-01-01,FOUR WHEELER
JAGUAR LAND ROVER INDIA LIMITED,4688,2024-01-01,FOUR WHEELER
JSW MG MOTOR INDIA PVT LTD,51968,2024-01-01,FOUR WHEELER
KAISER WILLYS JEEP,2,2024-01-01,FOUR WHEELER
KIA INDIA PRIVATE LIMITED,233115,2024-01-01,FOUR WHEELER
